Questions,Answers
"Tôi cảm thây cô đơn. Xung quanh tôi có rất nhiều người nhưng dường như họ chỉ lắng nghe mà không hiểu. Họ nói mọi chuyện sẽ ổn thôi, hoặc họ không nghe lời tôi chút nào. Mọi người đều nói rằng họ ở đây vì tôi nhưng tôi không cảm thấy như vậy. Tại sao tôi lại cảm thấy cô đơn thế này?","Mặc dù chúng ta có thể có những lúc cảm thấy cô đơn, ngay cả khi có sự hiện diện của gia đình và bạn bè, nhưng cảm giác cô đơn hầu hết thời gian có thể là dấu hiệu cho thấy giữa bạn và những người thân yêu đang thiếu sự kết nối. Nói chung, việc thiếu kết nối có thể xảy ra khi bạn không cảm thấy được lắng nghe, thấu hiểu hoặc có giá trị. Đây là những nhu cầu tình cảm phổ biến dẫn đến kết nối tình cảm tốt đẹp và an toàn giúp giảm bớt cảm giác cô đơn.&nbsp; Bạn đã đề cập rằng ""họ nghe nhưng không hiểu."" Bạn có truyền đạt rõ ràng về những gì bạn cần về mặt cảm xúc (được hiểu, được chấp nhận, được coi trọng, được nghe, được đồng cảm) không? Để giúp bạn yêu cầu loại hỗ trợ phù hợp, bạn có thể tự hỏi bản thân xem tình huống đang làm phiền bạn là gì và bạn mong muốn bạn bè và gia đình phản hồi như thế nào. Kết quả có thể là một câu trả lời mang lại nhiều thông tin hơn cho những người thân yêu của bạn. Ví dụ, bạn có thể nói, ""Cảm ơn bạn đã lắng nghe tôi. Khi tôi cảm thấy cô đơn, tôi cảm thấy như không có ai quan tâm đến mình vì mọi người dường như đều bận rộn với cuộc sống của họ. Tôi chỉ muốn nghe và cảm nhận rằng tôi được đánh giá cao khi nhận được sự quan tâm."" tin nhắn và cuộc gọi điện thoại.""&nbsp; Tiến sĩ Virginia Chow www.psychologyresource.ca"
"Tôi biết tôi đang hủy hoại cuộc đời mình với rất nhiều quyết định mà tôi đưa ra. Tôi luôn tự nhủ rằng mình cần phải thực hiện một số thay đổi nghiêm túc trong cuộc sống, nhưng dường như tôi không thể làm được mặc dù tôi thực sự muốn. Tại sao tôi không thể ép mình thay đổi?","Xin chào và cảm ơn vì câu hỏi của bạn. Thay đổi hành vi không mong muốn là một trong những điều khó nhất mà một người có thể làm. Tôi đồng ý với Sherry rằng kiên nhẫn với chính mình là điều quan trọng. Dưới đây là một số điều tôi muốn đề xuất: 1. Hãy hiểu rõ những hành vi mà bạn thực sự muốn thay đổi và đảm bảo rằng đó là những hành vi CÓ THỂ thay đổi. Đôi khi chúng ta sẽ đặt ra mục tiêu như “Tôi muốn tự tin hơn” nhưng điều đó thật khó để đo lường và chứng minh với bản thân rằng bạn đã hoàn thành được mục tiêu đó. Việc nói rằng bạn sắp chấp nhận một cuộc hẹn hò hoặc tham gia một cuộc phỏng vấn xin việc là điều bạn thực sự có thể làm và là điều mà bạn có thể coi là thể hiện sự tự tin. Dù thay đổi hành vi của bạn là gì, hãy đảm bảo rằng đó là điều bạn thực sự có thể thay đổi. 2. Nếu bạn định từ bỏ một hành vi, hãy quyết định xem bạn sẽ làm gì thay vào đó. Vì vậy, nếu bạn định ngừng đi làm muộn, thì bạn đang quyết định đi làm đúng giờ và thể hiện giá trị của việc đúng giờ. 3. Nếu bạn định thực hiện những thay đổi, hãy thực sự xác định rõ TẠI SAO bạn muốn thực hiện chúng. Điều gì về việc thực hiện những thay đổi này quan trọng đối với bạn với tư cách là một con người? Ví dụ: nếu bạn có mục tiêu giảm cân, lý do điều này quan trọng đối với bạn với tư cách một con người có thể là vì bạn coi trọng việc chăm sóc bản thân. Biết TẠI SAO bạn muốn thực hiện thay đổi vừa là động lực vừa là kim chỉ nam để bạn đạt được điều đó. 4. Một khi bạn biết TẠI SAO bạn muốn thực hiện những thay đổi này, tôi thực sự khuyên bạn nên đặt ra những mục tiêu nhỏ. Nếu bạn đặt mục tiêu quá cao, bạn có thể không hoàn thành được chúng và cảm thấy tồi tệ hơn. Vì vậy, hãy đặt mục tiêu nhỏ, thực tế và được hướng dẫn bởi những điều bạn muốn trở thành một con người. 5. Như Sherry đã đề cập, tìm một người cố vấn đôi khi là một ý tưởng hay nếu bạn thực sự cảm thấy bế tắc. Bất kỳ cố vấn nào làm việc với việc thiết lập mục tiêu và tạo động lực đều có thể giúp ích. Chúc sức khỏe, Robin Landwehr, DBH, LPCC"
"Gần đây tôi và chồng đã quan hệ tay ba lần đầu tiên. Mọi người đều uống rượu và anh ấy ở bên cô ấy nhiều hơn tôi.

Sau đó tôi và anh ấy đã nói chuyện về điều đó và điều đó khiến tôi cảm thấy dễ chịu hơn, và bây giờ tôi lại thèm ăn nó nhiều hơn. Nhưng trước khi nó sắp xảy ra tôi lại có cảm giác trống rỗng. Tại sao tôi lại cảm thấy như vậy?","Xin chào bạn.&nbsp; Như bạn đã can đảm giải thích tình trạng khó xử trong tâm hồn của mình. Tôi có thể đánh giá cao sự phức tạp của tình huống này.&nbsp; Bạn đã xác định được một số yếu tố chính có thể góp phần khiến bạn cảm thấy ""trống rỗng"".&nbsp; Thứ nhất, liệu mục tiêu cuối cùng ở đây có thể đạt được từ sự sắp xếp này không?&nbsp; Bạn có đang cố gắng đạt được sự thỏa mãn với một người phụ nữ khác khi có mặt chồng mình nhưng không phải với anh ấy 'ở bên cô ấy' nhiều hay không?&nbsp; Bạn đang cố gắng yêu cầu anh ấy tham gia thụ động hơn?&nbsp; Có lẽ hãy cẩn thận để không uống quá nhiều... Trong toàn bộ sự kiện, bạn muốn cảm thấy thân mật hoặc gắn kết như thế nào?&nbsp; Bạn có khao khát anh ấy thực sự ở bên bạn cùng với cô ấy không?&nbsp; Đây là những câu hỏi nảy sinh; có thể không phải là giải pháp.&nbsp; Luôn luôn tốt nếu bản thân hiểu rõ mục tiêu cuối cùng ở đây là gì... Và luôn đo lường mối nguy hiểm tiềm tàng..&nbsp; Bình yên - keith"
"Tôi cảm thây cô đơn. Xung quanh tôi có rất nhiều người nhưng dường như họ chỉ lắng nghe mà không hiểu. Họ nói mọi chuyện sẽ ổn thôi, hoặc họ không nghe lời tôi chút nào. Mọi người đều nói rằng họ ở đây vì tôi nhưng tôi không cảm thấy như vậy. Tại sao tôi lại cảm thấy cô đơn thế này?","Xin chào bạn.&nbsp; Cảm ơn bạn đã chia sẻ tấm lòng của mình tại đây.&nbsp; Tôi muốn bắt đầu bằng cách nói, theo một cách mỉa mai, cuộc đấu tranh của bạn là điều mà nhiều người phải trải qua, tôi có thể nói khá thường xuyên.&nbsp; Nhiều người thường xuyên cảm thấy cô đơn với nhau.&nbsp; Những lý do dẫn đến cảm giác cô đơn rất khác nhau giữa mỗi người.&nbsp; Khi đọc cách bạn trình bày mọi thứ, tôi sẽ chỉ phản hồi điều này gây ấn tượng với tôi như thế nào.&nbsp; Đôi khi cảm giác cô đơn có thể là kết quả của việc không hoàn thành nửa sau của phương trình; có nghĩa là mặc dù mọi người ""lắng nghe"" nhưng điều đó không nhất thiết đồng nghĩa với việc loại bỏ việc ở một mình. Thay vào đó, khi&nbsp;bạn theo dõi bằng cách tìm hiểu và lắng nghe người khác,&nbsp;bạn có thể phát hiện ra rằng họ cũng cảm nhận, suy nghĩ và đấu tranh giống như bạn.&nbsp;Và kết quả là, bạn phát hiện ra rằng mình thực sự không bao giờ cô đơn; khi mọi người khám phá ra sự đấu tranh và cảm xúc chung, chúng ta được kết nối với nhau.&nbsp; Thứ hai, con người chúng ta đôi khi cảm thấy cô đơn vì chúng ta có thể thiếu khả năng chấp nhận bản thân.&nbsp; Không hoàn toàn chấp nhận bản thân hoặc hoàn cảnh, có thể cản trở việc cảm nhận sự hiện diện của người khác hoặc nghe thấy giọng nói của người khác.&nbsp;Hay nói cách khác, việc không&nbsp;'ổn định' với&nbsp;bản thân khiến việc ở bên người khác trở nên khó khăn. &nbsp;Thứ ba; cảm giác cô đơn có thể khiến chúng ta không rõ mình thực sự cần gì ở người khác?&nbsp;&nbsp; Đây chỉ là một số suy nghĩ cần xem xét.&nbsp; Cảm giác một mình rất thật; tuy nhiên nó liên quan nhiều đến quan điểm và cách nhìn của chúng ta về mọi thứ...&nbsp; tất cả chúng ta đều cô đơn trong một thế giới đông đúc cho đến khi chúng ta nói và lắng nghe kỹ hơn. Vui lòng -keith ôm M.A.&nbsp; keithcounseling.com"
"Đôi khi, tôi ổn và có thể đi chơi hoặc gặp gỡ mọi người, nhưng những ngày khác, trái tim tôi đập loạn xạ và lời nói không thể thốt ra khỏi miệng. Tôi luôn nghĩ đó là điều bình thường và tôi chỉ thấy lo lắng, nhưng hôm nọ, tôi phải mất gần 30 phút ngồi trên xe mới có đủ can đảm để một mình vào Target.","Cảm giác lo lắng có thể đáng sợ và đôi khi chúng ta không nhận thức được những tác nhân dẫn đến khoảnh khắc lo lắng, tức là. e., tim đập nhanh, lòng bàn tay đổ mồ hôi, đổ mồ hôi, khó thở. Điều quan trọng là phải nhận ra rằng trong những khoảnh khắc lo lắng, cơ thể &amp; tâm trí đang trải qua một phản ứng từ bộ não nguyên thủy hoặc bò sát của chúng ta đang báo hiệu phản ứng bỏ chạy hoặc chiến đấu bên trong chúng ta, khiến vùng dưới đồi hoạt động khiến cơ thể chúng ta tràn ngập các hóa chất, như adrenaline hoặc cortisol. &nbsp;Vì vậy, một cách để giải quyết sự lo lắng là tìm ra nguyên nhân dẫn đến lo lắng, chẳng hạn như sợ hãi, căng thẳng. kiểu suy nghĩ tiêu cực, không đủ ăn hoặc ngủ. Viết nhật ký hàng ngày có thể giúp bạn theo dõi các mô hình và yếu tố kích hoạt và khi xác định được các yếu tố kích hoạt, bạn có thể cải thiện chúng bằng cách học các kỹ năng &amp; kỹ thuật và bằng cách giảm căng thẳng và ngủ đủ giấc. Một cách nhanh chóng để giảm bớt lo lắng là hít thở sâu hơn, đôi khi điều này được gọi là thở bụng. Khi bạn hít vào, hãy chắc chắn rằng bụng của bạn phồng lên và nở ra và khi bạn thở ra, bụng xẹp xuống. Nhiều người trong chúng ta hít thở nông trong lồng ngực, điều này không cho phép hít thở đầy đủ và việc hít thở đầy đủ rất quan trọng như một công cụ giúp chúng ta thư giãn trong những lúc căng thẳng &amp; lo lắng .&nbsp;"
"Nhiều khi tôi thấy mình có những suy nghĩ đáng sợ và đôi khi tôi còn sợ hãi khi nghĩ rằng điều gì đó tồi tệ sắp xảy ra với mình. Một khi nó bắt đầu, ý nghĩ đó tiếp tục chạy qua đầu tôi và tôi không thể thoát ra được. Làm thế nào tôi có thể ngăn chặn những suy nghĩ này?","Những suy nghĩ đáng sợ đôi khi có thể khiến bạn cảm thấy choáng ngợp và có cảm giác khá thực tế. Tôi muốn thừa nhận rằng họ có thể cảm thấy đáng sợ như thế nào, nhưng vẫn có hy vọng và những kỹ năng mới mà bạn có thể học để đối phó với những kiểu suy nghĩ này. Bước đầu tiên để xử lý những suy nghĩ đáng sợ hoặc tiêu cực là thừa nhận rằng chúng chỉ là những suy nghĩ và chúng ta có thể chọn đi theo những dòng suy nghĩ đáng sợ hoặc cắt bỏ hoặc phớt lờ chúng. Tôi cũng nhận ra rằng điều đó có vẻ thực sự khó thực hiện, nhưng đây là một cách hay để suy nghĩ về bộ não và cách thức hoạt động của các kiểu suy nghĩ. Suy nghĩ luôn nảy sinh trong đầu, bộ não của chúng ta là một cỗ máy suy nghĩ. Nhiều suy nghĩ trôi đi như mây và chúng ta không chú ý đến trong khi những suy nghĩ khác nảy sinh và chúng kích động chúng ta theo một cách nhỏ nhặt, tức là sợ hãi, tức giận, vui, buồn và khi những suy nghĩ đó nảy sinh, chúng ta có thể chọn chú ý hơn đến ý nghĩ có thể dẫn chúng ta đi theo dòng suy nghĩ vi hạt sẽ dẫn đến sợ hãi và lo lắng. Vậy làm thế nào để chúng ta ngăn chặn những dòng suy nghĩ đáng sợ đó? Một kỹ năng mới cần thực hiện đến từ tác phẩm của Rick Hansen, ông ấy viết cuốn Bộ não của Phật,” ông dạy rằng chúng ta cần dành nhiều năng lượng và sự chú ý hơn đến những suy nghĩ tích cực hoặc những ký ức tích cực mà chúng ta lưu giữ trong đầu và ít chú ý hơn đến những điều tích cực. Hansen yêu cầu chúng ta tưởng tượng bộ não theo cách này, bộ não giống như Velcro với những suy nghĩ tiêu cực và giống như tanh khi nói đến những suy nghĩ tích cực. Có nhiều lý do khiến bộ não của chúng ta hoạt động theo cách này, nhưng tôi không có thời gian để đi. về tất cả những điều đó trong phản hồi này. Vì vậy, điều quan trọng cần nhớ là chúng ta phải suy nghĩ tích cực, thực sự tạm dừng suốt cả ngày để tập trung vào những cảm xúc và ký ức tích cực, &nbsp;điều này sẽ giúp tâm trí củng cố những luồng suy nghĩ tích cực và giúp giảm bớt. dòng suy nghĩ tiêu cực theo thời gian. Nếu một ý nghĩ đáng sợ nảy sinh, hãy cố gắng thay thế nó bằng một trải nghiệm vui vẻ trong ít nhất một vài khoảnh khắc và xem liệu điều đó có giúp giảm điện tích tiêu cực liên quan đến suy nghĩ đáng sợ đó hay không.&nbsp;"
Chúng tôi đã yêu xa được hai năm rưỡi. Gần đây tôi đã xem điện thoại của anh ấy và thấy những người anh ấy nhắn tin nhiều nhất và một trong số họ là đồng nghiệp nữ. Tôi không biết làm thế nào để tiếp cận tình huống này. Làm thế nào để tôi hỏi anh ấy về điều đó?,"Tôi nghĩ sự trung thực là cách tiếp cận đúng đắn trong tình huống này. Chia sẻ với anh ấy rằng bạn đã xem điện thoại của anh ấy, cũng như chia sẻ với anh ấy mọi nỗi sợ hãi hoặc lo lắng mà bạn đang gặp phải về mối quan hệ xa cách. Sự tin tưởng là nền tảng của bất kỳ mối quan hệ thành công nào và khi nghi ngờ &amp; sự ngờ vực len lỏi vào một mối quan hệ, nó có thể làm suy yếu sự bền vững lâu dài của mối quan hệ. Hy vọng, anh ấy sẽ hiểu được mối quan tâm của bạn và đánh giá cao sự trung thực của bạn. Đây cũng có thể là thời điểm tốt để tìm kiếm sự tư vấn cho các cặp đôi nhằm giải quyết mối quan hệ &amp; kĩ năng giao tiếp."
"Tôi bị ADHD ở người lớn, rối loạn lo âu và trầm cảm. Thật khó để tìm được một bác sĩ trong khu vực của tôi và bác sĩ chính của tôi sẽ không giúp đỡ. Tôi thất nghiệp và choáng ngợp. Bạn sẽ đề nghị tôi làm gì?","Tôi sẽ kiểm tra các cơ quan cung cấp dịch vụ tư vấn hợp lý dựa trên thu nhập của bạn hoặc các buổi tư vấn với chi phí rất thấp, ví dụ: Phòng khám Thái Bình Dương, Hathaway Sycamore, Trung tâm Sức khỏe Tâm thần Pasadena, Trung tâm Gia đình Burbank. Nếu bạn google liệu pháp giá cả phải chăng hoặc chi phí thấp trong khu vực cụ thể của mình, bạn sẽ tìm thấy các tài nguyên trợ giúp mình.&nbsp;"
"Đôi khi tôi không thể ngừng suy nghĩ về cuộc sống sau khi chết. Tôi lớn lên trong một tôn giáo dạy rằng chúng ta sẽ sống mãi mãi dù ở địa ngục hay thiên đường.
Khi tôi nghĩ đến việc sống mãi mãi (ngay cả khi đó là điều tốt đẹp trên thiên đường), tôi cảm thấy choáng ngợp. Tôi không thích ý nghĩ phải sống mãi mãi. Đôi khi tôi không thể gạt suy nghĩ đó ra khỏi đầu mình và những suy nghĩ đó khiến tôi hoảng sợ và lo lắng.
Tôi có điên không? Tôi không nghĩ những suy nghĩ này là bình thường.","Câu hỏi tôn giáo là một chủ đề phức tạp và thường mang tính triết học, đồng thời những loại câu hỏi này, đặc biệt là về thiên đường, địa ngục và thế giới bên kia có thể đưa ra một loạt câu hỏi khó &amp; cảm xúc bối rối. Điều tôi muốn tập trung vào là nỗi sợ hãi &amp; sự lo lắng mà bạn dường như đang cảm thấy có mối liên hệ sâu sắc với câu hỏi của bạn. Những suy nghĩ đáng sợ, suy nghĩ tiêu cực, suy nghĩ ám ảnh đôi khi khiến bạn cảm thấy như mất kiểm soát và chúng ta không thể làm gì để ngăn chặn chúng, nhưng tôi muốn đưa ra hai kỹ thuật có thể giúp bạn vượt qua cơn hoảng loạn &amp; lo lắng.&nbsp;<span style=""color: rgb(102, 102, 102); font-family: Georgia, Times, 'Times New Roman', serif; font-size: 16px; line-height: 22px; white- space: pre-wrap;"">Bước đầu tiên khi xử lý những suy nghĩ đáng sợ hoặc tiêu cực là thừa nhận rằng chúng chỉ là những suy nghĩ và chúng ta có thể chọn đi theo những dòng suy nghĩ đáng sợ hoặc cắt bỏ hoặc phớt lờ chúng. Tôi cũng nhận ra rằng điều đó có vẻ thực sự khó thực hiện, nhưng đây là một cách hay để suy nghĩ về bộ não và cách thức hoạt động của các kiểu suy nghĩ. Suy nghĩ luôn nảy sinh trong đầu, bộ não của chúng ta là một cỗ máy suy nghĩ. Nhiều suy nghĩ trôi đi như mây và chúng ta không chú ý đến trong khi những suy nghĩ khác nảy sinh và chúng kích động chúng ta theo một cách nhỏ nhặt, tức là sợ hãi, tức giận, vui, buồn và khi những suy nghĩ đó nảy sinh, chúng ta có thể chọn chú ý hơn đến suy nghĩ có thể dẫn chúng ta đi theo dòng suy nghĩ cụ thể sẽ dẫn đến sợ hãi và lo lắng. Vậy làm thế nào để chúng ta ngăn chặn những dòng suy nghĩ đáng sợ đó? Một kỹ năng mới cần thực hiện đến từ tác phẩm của Rick Hansen, ông ấy viết cuốn Bộ não của Phật,” ông dạy rằng chúng ta cần dành nhiều năng lượng và sự chú ý hơn đến những suy nghĩ tích cực hoặc những ký ức tích cực mà chúng ta lưu giữ trong đầu và ít chú ý hơn đến những điều tích cực. Hansen yêu cầu chúng ta tưởng tượng bộ não theo cách này, bộ não giống như Velcro với những suy nghĩ tiêu cực và giống như tanh khi nói đến những suy nghĩ tích cực. Có nhiều lý do khiến bộ não của chúng ta hoạt động theo cách này, nhưng tôi không có thời gian để đi. về tất cả những điều đó trong phản hồi này. Vì vậy, điều quan trọng cần nhớ là chúng ta phải suy nghĩ tích cực, thực sự tạm dừng suốt cả ngày để tập trung vào những cảm xúc và ký ức tích cực, &nbsp;điều này sẽ giúp tâm trí củng cố những luồng suy nghĩ tích cực và giúp giảm bớt. dòng suy nghĩ tiêu cực theo thời gian. Nếu một ý nghĩ đáng sợ xuất hiện, hãy thử thay thế nó bằng một trải nghiệm vui vẻ trong ít nhất một vài khoảnh khắc và xem liệu điều đó có giúp giảm điện tích tiêu cực liên quan đến suy nghĩ đáng sợ đó hay không.&nbsp;Tôi cũng sẽ đề xuất khi bạn thực hiện. Đang có những suy nghĩ về cái chết, hãy dành một chút thời gian để ý xem bạn đang thở như thế nào. Thông thường, khi chúng ta cảm thấy lo lắng, chúng ta đang thở nông ở ngực hơn là hít một hơi thật sâu, đầy đủ hay còn gọi là thở bụng. Nếu bạn dành một chút thời gian để tập trung vào hơi thở và hít thở sâu vài lần, hít vào sao cho bụng phồng lên và bụng xẹp xuống tự nhiên khi bạn thở ra, chỉ cần chú ý đến hơi thở và tập thở có thể làm chậm chu kỳ lo lắng vì nó bắt đầu. </span>"
"Gần đây tôi và chồng đã quan hệ tay ba lần đầu tiên. Mọi người đều uống rượu và anh ấy ở bên cô ấy nhiều hơn tôi.

Sau đó tôi và anh ấy đã nói chuyện về điều đó và điều đó khiến tôi cảm thấy dễ chịu hơn, và bây giờ tôi lại thèm ăn nó nhiều hơn. Nhưng trước khi nó sắp xảy ra tôi lại có cảm giác trống rỗng. Tại sao tôi lại cảm thấy như vậy?","Các bạn cần có một cuộc trò chuyện thành thật với nhau về lý do TẠI SAO cả hai bạn đều muốn quan hệ tay ba. Đánh giá tình trạng mối quan hệ của bạn với nhau. Bạn đang gặp vấn đề? Chiến đấu? Không cảm thấy hài lòng với nhau? Cuộc sống tình dục của các bạn với nhau như thế nào? &nbsp;Nếu có bất kỳ vấn đề, bất an, vấn đề nào, việc giới thiệu những điều như thế này có thể chỉ khiến mối quan hệ của bạn trở nên tồi tệ hơn.&nbsp; Các mối quan hệ cởi mở và quan hệ tay ba hiếm khi diễn ra tốt đẹp. Chắc chắn, có một số người sống thành công với lối sống này, nhưng nó chỉ có tác dụng khi cả hai người hoàn toàn yên tâm trong mối quan hệ với nhau, không ghen tị hay bất an và không tìm đến người khác để thỏa mãn những nhu cầu không được đáp ứng. được gặp bởi vợ/chồng của họ.&nbsp; Hãy để tôi nói lại điều đó: Điều này có thể sẽ không tốt cho bạn nếu một trong hai bạn cảm thấy bất an, ghen tuông hoặc muốn được người khác đáp ứng những nhu cầu mà bạn không nhận được từ vợ/chồng của mình.&nbsp; Cảm giác trống rỗng mà bạn đang có - hãy lắng nghe nó. Hãy đào sâu để tìm ra nó đến từ đâu. Những suy nghĩ nào đang diễn ra trong đầu bạn khi bạn cảm thấy như vậy? Bạn sẽ nhận được câu trả lời. Một điều khác giúp những việc như thế này thành công là cả hai bạn phải lắng nghe và tôn trọng lẫn nhau. Nếu bạn không thích việc anh ấy chú ý đến cô gái kia nhiều hơn thì anh ấy cần biết điều đó và anh ấy cần tôn trọng điều đó. &nbsp;Nếu bạn định làm lại điều đó, anh ấy cần biết bạn cảm thấy thoải mái với điều gì và muốn gì. Đặt giới hạn trước khi bạn thực hiện hiện tại, trước khi quá muộn để thực hiện hành động trở lại. Hãy quay lại và hỏi anh ấy xem anh ấy sẽ cảm thấy thoải mái với điều gì nếu đó là đàn ông thay vì phụ nữ. Việc tò mò và muốn thử nghiệm là điều hoàn toàn tự nhiên. Rất nhiều người đã giải quyết được điều đó trước khi ổn định mối quan hệ một vợ một chồng. Những người kết hôn khi còn trẻ và/hoặc thiếu kinh nghiệm có thể vẫn cảm thấy tò mò về những điều như vậy và muốn trải nghiệm chúng nhưng không muốn làm tổn thương vợ/chồng mình. LÝ DO cả hai bạn đang làm điều này rất quan trọng. Nếu có vấn đề trong mối quan hệ của bạn, điều này có thể chỉ khiến mọi việc trở nên tồi tệ hơn."
"Tôi 17 tuổi và tôi chán ngán việc đi tới đi lui. Tôi muốn ở nhà mẹ tôi. Vấn đề này đã thực sự ảnh hưởng đến tôi. Trước đây, tôi đã từng bị lo âu, có ý định tự tử và tự làm hại bản thân.

Hiện tại tôi đang trải qua thời kỳ lo lắng và bác sĩ trị liệu của tôi không có mặt. Làm cách nào để xử lý việc này?","Tôi rất tiếc khi biết bạn đang trải qua điều này. Ly hôn có thể gây xáo trộn trong cuộc sống của một đứa trẻ. Tôi thực sự cần nhiều thông tin hơn về tình huống của bạn trước khi tôi cảm thấy thoải mái khi đưa ra bất kỳ lời khuyên hoặc gợi ý nào. Có rất nhiều biến số và việc không biết toàn bộ câu chuyện, bất kỳ lời khuyên nào cũng có thể khiến tình hình của bạn trở nên tồi tệ hơn. Tuy nhiên, tôi thấy một số mặt tích cực.&nbsp; Một, bạn nói rằng bạn có một nhà trị liệu. Thật tuyệt! Tôi hy vọng bạn có thể sớm nói chuyện với họ về vấn đề này. Tuy nhiên, họ không thể đưa ra lời khuyên pháp lý cho bạn và rất nhiều trường hợp trong số này có thể do luật pháp quy định. Tuy nhiên, điều mà nhà trị liệu của bạn có thể giúp đỡ là giải quyết bất kỳ tình huống nào mà bạn phải tuân theo pháp luật. Nếu không thể thay đổi hoàn cảnh, ít nhất bạn cũng cần học cách đối phó với nó tốt hơn.&nbsp; Thứ hai, bạn 17 tuổi. Khi bạn 18 tuổi, về mặt pháp lý, bạn là người trưởng thành và sẽ không bị ràng buộc bởi bất kỳ quy tắc về quyền giám hộ hoặc kế hoạch thăm viếng nào hiện hành.&nbsp; Thành thật mà nói, thanh thiếu niên thường có nhiều tiếng nói với tòa án trong việc sắp xếp quyền nuôi con. Vì bạn không nói rõ hơn về tình huống này nên tôi không biết tình huống cụ thể của bạn là gì. Bố mẹ bạn đã từng kết hôn chưa? Họ ly thân hay ly dị? Đã bao giờ có một phiên tòa xét xử quyền nuôi con chưa? Không phải tất cả các cặp vợ chồng đều có sự sắp xếp chính thức của tòa án. Tất cả các gia đình cũng khác nhau. Có sự lạm dụng giữa cha mẹ bạn không? Hướng tới bạn bởi một trong số họ? Một trong hai người có vấn đề về nghiện ngập, các vấn đề nghiêm trọng về sức khỏe hoặc tâm thần hay bất cứ điều gì tương tự không? Bạn đề cập rằng bạn muốn sống với mẹ nhưng không nói rõ lý do. Bạn có sợ nói với bố rằng bạn muốn ở với mẹ không? Mẹ là người cha mẹ hiền lành và vui vẻ trong khi bố là người nghiêm khắc hơn, hay còn điều gì khác đang xảy ra? Đây không phải là quyết định hoàn toàn do bạn quyết định và cũng không phải là quyết định mà bất kỳ ai khác cần đưa ra thay mặt bạn mà không có ý kiến ​​đóng góp của bạn. Nhưng lời khuyên về những việc cần làm cần đến từ những người biết nhiều hơn về hoàn cảnh của bạn để họ có thể giúp đề xuất điều tốt nhất cho bạn.&nbsp; Dù bạn làm gì, hãy cố gắng ở đó! 18 sẽ ở đây trước khi bạn biết điều đó. Hãy tập trung vào điều đó. Tự do. Trường cao đẳng. Lập kế hoạch cho tương lai mà BẠN kiểm soát và tập trung vào việc biến nó thành điều tốt nhất có thể. Đừng để sự lo lắng và trầm cảm che mờ suy nghĩ của bạn và khiến bạn làm điều gì đó không thể thay đổi được.&nbsp;"
